S.No,Lead first name,Lead last name,Lead ID,Lead Source,Campaign name,Campaign ID,Lead Created Date,UCIC,Mobile Number,Alternate Mobile,Email ID,Date of Birth,PAN,PAN Attachment,City,District,State,Pincode,Country,Portfolio,Product,Offer Amount,Offer Valid Till,Assigned To,Branch,Region,Zone,Lead Status,Reason Code,Reason,Next Follow-up Date,LAN No.,Status Updated On,Duplicate Flag,Last Modified By,Last Modified On,Occupation,Employment Type,First Response (hrs),SLA Breached
11,Saravanan,Vaidyanathan,AFL-RET-000011,Landing page,Swasthya Care AUG26,CMP-2026-0035,2026-08-14 16:12:00,625765313,6996950473,,saravanan.vaidyanathan49@gmail.com,1993-10-14,,,Coimbatore,Coimbatore,Tamil Nadu,641045,India,Retail Personal Loans,Kushal Personal Loan,1100000,2026-10-13,Muthu Krishnan,Coimbatore — RS Puram,Tamil Nadu Region,South Zone,Not reachable,NR-02,Invalid / wrong number,,,2026-08-16 18:12:00,No,Muthu Krishnan,2026-08-16 18:12:00,Salaried — MNC,Salaried,4.3,Yes
12,Siddharth,Patil,AFL-RET-000012,Website,Gold Utsav APR26,CMP-2026-0024,2026-04-23 10:00:00,,8693410606,,siddharth.patil34@yahoo.com,2002-06-17,,,Ahmedabad,Ahmedabad,Gujarat,380051,India,Retail Home Loans,Plot + Construction Loan,3500000,2026-05-23,Hardik Bhatt,Ahmedabad — Satellite,Gujarat Region,West Zone,Not reachable,NR-03,No response after 3 attempts,,,2026-04-24 11:18:00,No,Hardik Bhatt,2026-04-24 11:18:00,Student,Salaried,0.2,No
13,Sumit,Mishra,AFL-RET-000013,Social media,Professional Edge AUG26,CMP-2026-0036,2026-08-11 11:37:00,,6788018181,,sumit.mishra@hotmail.com,1971-06-09,,,New Delhi,New Delhi,Delhi,110001,India,Retail Personal Loans,Debt Consolidation Loan,1500000,2026-09-25,Nidhi Sharma,Delhi — Connaught Place,Delhi NCR Region,North Zone,Not interested,NI-06,Family / spouse declined,,,2026-08-13 09:29:00,No,Nidhi Sharma,2026-08-13 09:29:00,Salaried — MNC,Salaried,0.2,No
14,Chirag,Thakkar,AFL-RET-000014,Landing page,Grah Sajawat SEP26,CMP-2026-0040,2026-09-02 18:31:00,847414832,8162386485,,chirag.thakkar@outlook.com,1987-08-02,VSNPG5082Q,PAN_Chirag_Thakkar.pdf,Ahmedabad,Ahmedabad,Gujarat,380052,India,Retail Personal Loans,Education Loan,525000,2026-10-02,Hardik Bhatt,Ahmedabad — Satellite,Gujarat Region,West Zone,Follow-up,,,2026-09-17,,2026-09-05 16:50:00,No,Hardik Bhatt,2026-09-05 16:50:00,Business Owner,Self-Employed,0.6,No
15,Manoj,Prasad,AFL-RET-000015,Website,Professional Edge SEP26,CMP-2026-0039,2026-09-04 09:18:00,,9855792988,,manoj.prasad@rediffmail.com,1985-03-19,SCKPA5421U,PAN_Manoj_Prasad.pdf,Cuttack,Cuttack,Odisha,753012,India,Retail Personal Loans,Debt Consolidation Loan,275000,2026-10-19,Prakash Saikia,Cuttack — Buxi Bazaar,East India Region,East Zone,Login Initiated,,,,,2026-09-10 16:48:00,No,Prakash Saikia,2026-09-10 16:48:00,Salaried — Private Sector,Salaried,3.5,Yes
16,Nilima,Behera,AFL-RET-000016,Landing page,Shubh Vivah JAN26,CMP-2026-0012,2026-01-15 19:05:00,,7114579503,,nilima.behera70@gmail.com,1976-04-08,VFAPC1131T,PAN_Nilima_Behera.pdf,Cuttack,Cuttack,Odisha,753001,India,Retail Home Loans,Disha Home Loan,1200000,2026-02-14,Prakash Saikia,Cuttack — Buxi Bazaar,East India Region,East Zone,Not interested,NI-06,Family / spouse declined,,,2026-01-17 12:09:00,No,Prakash Saikia,2026-01-17 12:09:00,Salaried — MNC,Salaried,10.7,Yes
17,Pranav,Parikh,AFL-RET-000017,Website,Diwali Dhamaka OCT25,CMP-2025-0001,2025-10-09 09:05:00,446445318,6633269731,,pranav.parikh2@outlook.com,1985-11-25,PJWPH2773U,PAN_Pranav_Parikh.pdf,Mumbai,Mumbai,Maharashtra,400001,India,Vehicle & Consumer Loans,Two-Wheeler Loan,165000,2025-11-08,Omkar Patel,Mumbai — Fort,Maharashtra Region,West Zone,Disbursed,,,,AFLRET25000004,2025-11-07 15:43:00,No,Omkar Patel,2025-11-07 15:43:00,Salaried — Private Sector,Salaried,0.3,No
18,Arjun,Sethi,AFL-RET-000018,Social media,Vyapar Vriddhi JAN26,CMP-2026-0013,2026-01-05 19:37:00,,6416371776,,arjun.sethi96@yahoo.com,1992-10-17,,,New Delhi,New Delhi,Delhi,110011,India,Business & MSME Loans,Vyapar Business Loan,3700000,2026-03-06,Ritika Mishra,Delhi — Connaught Place,Delhi NCR Region,North Zone,Rejected,REJ-01,Credit / bureau issue (CIBIL below cut-off),,,2026-01-11 11:52:00,No,Ritika Mishra,2026-01-11 11:52:00,Business Owner,Self-Employed,,No
19,Dinesh,Kumaraswamy,AFL-RET-000019,PQ Campaign,Property Power JUN26,CMP-2026-0029,2026-06-21 14:12:00,665789989,7389965782,,,1997-11-01,MCLPR2534X,PAN_Dinesh_Kumaraswamy.pdf,Chennai,Chennai,Tamil Nadu,600033,India,Loan Against Property,Loan Against Property,15500000,2026-07-21,Saravanan Rajan,Chennai — T Nagar,Tamil Nadu Region,South Zone,Disbursed,,,,AFLRET26000005,2026-07-24 11:24:00,No,Saravanan Rajan,2026-07-24 11:24:00,Salaried — Private Sector,Salaried,1,No
20,Anand,Bhat,AFL-RET-000020,Social media,Vyapar Vriddhi JAN26,CMP-2026-0013,2026-01-03 12:00:00,930197988,9729938409,8965306750,anand.bhat@gmail.com,1976-11-10,,,Bengaluru,Bengaluru Urban,Karnataka,560082,India,Business & MSME Loans,Working Capital Loan,1400000,2026-02-17,Nandini Rao,Bengaluru — Jayanagar,Karnataka Region,South Zone,Rejected,REJ-02,Income below minimum,,,2026-01-13 09:50:00,No,Nandini Rao,2026-01-13 09:50:00,Business Owner,Self-Employed,,No
21,Nikhil,Trivedi,AFL-RET-000021,PQ Campaign,Shubh Vivah DEC25,CMP-2025-0011,2025-12-05 14:58:00,273733611,6767903022,,,1995-08-26,,,Thane,Thane,Maharashtra,400610,India,Retail Personal Loans,Medical Emergency Loan,350000,2026-01-19,Kalyani Joshi,Thane — Ghodbunder,Maharashtra Region,West Zone,Not interested,NI-04,Requirement postponed,,,2025-12-07 10:40:00,No,Kalyani Joshi,2025-12-07 10:40:00,Salaried — Private Sector,Salaried,0.2,No
22,Rashmi,Bhat,AFL-RET-000022,Social media,Balance Transfer Bonanza JUN26,CMP-2026-0030,2026-06-22 13:12:00,,6322199324,8161389467,rashmi.bhat19@yahoo.com,2000-09-25,,,Bengaluru,Bengaluru Urban,Karnataka,560047,India,Vehicle & Consumer Loans,Used Car Loan,300000,2026-08-06,Vinay Nair,Bengaluru — Koramangala,Karnataka Region,South Zone,Not interested,NI-03,Only enquiring — no current need,,,2026-06-23 10:30:00,No,Vinay Nair,2026-06-23 10:30:00,Salaried — Private Sector,Salaried,0.3,No
23,Nikhil,Parikh,AFL-RET-000023,Landing page,Shiksha Education MAY26,CMP-2026-0026,2026-05-06 13:00:00,,6972433790,,nikhil.parikh@gmail.com,1987-10-15,,,Nagpur,Nagpur,Maharashtra,440012,India,Retail Personal Loans,Education Loan,225000,2026-06-05,Hardik Patel,Nagpur — Dharampeth,Maharashtra Region,West Zone,Not reachable,NR-02,Invalid / wrong number,,,2026-05-09 12:18:00,No,Hardik Patel,2026-05-09 12:18:00,Salaried — Government / PSU,Salaried,0.2,No
24,Bhavesh,Parikh,AFL-RET-000024,PQ Campaign,Property Power MAY26,CMP-2026-0027,2026-05-31 12:51:00,192546806,7206777442,,bhavesh.parikh10@gmail.com,1990-05-20,,,Mumbai,Mumbai,Maharashtra,400001,India,Retail Home Loans,Disha Home Loan,525000,2026-07-30,Rutuja Pawar,Mumbai — Fort,Maharashtra Region,West Zone,Not reachable,NR-03,No response after 3 attempts,,,2026-06-02 11:38:00,No,Rutuja Pawar,2026-06-02 11:38:00,Self-Employed Non-Professional,Self-Employed,0.2,No
25,Trupti,Chavan,AFL-RET-000025,Website,Ghar Ka Sapna NOV25,CMP-2025-0008,2025-11-15 19:31:00,,6649923010,,trupti.chavan@yahoo.com,1979-03-27,BYUPG2643Q,PAN_Trupti_Chavan.pdf,Mumbai,Mumbai Suburban,Maharashtra,400069,India,Loan Against Property,Loan Against Property,30500000,2025-12-30,Mihir Bhatt,Mumbai — Andheri,Maharashtra Region,West Zone,Disbursed,,,,AFLRET25000006,2025-12-07 11:33:00,No,Mihir Bhatt,2025-12-07 11:33:00,Salaried — Government / PSU,Salaried,12.2,Yes
26,Kunal,Trivedi,AFL-RET-000026,PQ Campaign,Shubh Vivah JAN26,CMP-2026-0012,2026-01-01 12:12:00,906691816,9182152131,7922753877,kunal.trivedi@yahoo.com,1981-11-19,GTWPX6605Q,PAN_Kunal_Trivedi.pdf,Mumbai,Mumbai,Maharashtra,400021,India,Professional Loans,CA / Professional Loan,800000,2026-03-02,Rutuja Pawar,Mumbai — Fort,Maharashtra Region,West Zone,Disbursed,,,,AFLRET26000007,2026-02-01 09:09:00,No,Rutuja Pawar,2026-02-01 09:09:00,Business Owner,Self-Employed,9.8,Yes
27,Pooja,Kapoor,AFL-RET-000027,Landing page,Shiksha Education AUG26,CMP-2026-0034,2026-08-15 13:44:00,,7914639067,,pooja.kapoor@rediffmail.com,1983-07-14,,,New Delhi,South Delhi,Delhi,110017,India,Loan Against Property,Lease Rental Discounting,5500000,2026-10-14,Aarav Kapoor,Delhi — Saket,Delhi NCR Region,North Zone,Rejected,REJ-02,Income below minimum,,,2026-08-19 09:07:00,No,Aarav Kapoor,2026-08-19 09:07:00,Business Owner,Self-Employed,,No
28,Sagar,Thakkar,AFL-RET-000028,Social media,Safar Travel APR26,CMP-2026-0025,2026-04-07 12:05:00,,6550600965,,sagar.thakkar3@hotmail.com,1984-03-28,,,Pune,Pune,Maharashtra,411033,India,Retail Personal Loans,Medical Emergency Loan,800000,2026-05-22,Sneha Parikh,Pune — Wakad,Maharashtra Region,West Zone,Rejected,REJ-06,Documentation — unable to provide,,,2026-04-09 12:20:00,No,Sneha Parikh,2026-04-09 12:20:00,Salaried — MNC,Salaried,,No
29,Swapna,Naidu,AFL-RET-000029,Social media,Shiksha Education AUG26,CMP-2026-0034,2026-08-26 15:05:00,,6528605249,,swapna.naidu@yahoo.com,1998-05-06,,,Hyderabad,Rangareddy,Telangana,500032,India,Retail Personal Loans,Marriage Loan,1100000,2026-10-25,Mahesh Varma,Hyderabad — Gachibowli,Telangana Region,South Zone,Not reachable,NR-02,Invalid / wrong number,,,2026-08-28 09:59:00,No,Mahesh Varma,2026-08-28 09:59:00,Salaried — MNC,Salaried,0.2,No
30,Mamata,Oraon,AFL-RET-000030,Website,Vyapar Vriddhi MAR26,CMP-2026-0020,2026-03-28 14:00:00,,8619449190,,mamata.oraon@hotmail.com,1971-02-27,XZNPA1640A,PAN_Mamata_Oraon.pdf,Patna,Patna,Bihar,800001,India,Business & MSME Loans,Working Capital Loan,9500000,2026-04-27,Sanjay Singh,Patna — Boring Road,East India Region,East Zone,Not interested,NI-02,Already availed loan elsewhere,,,2026-03-31 11:05:00,No,Sanjay Singh,2026-03-31 11:05:00,Business Owner,Self-Employed,0.2,No
31,Chirag,Patel,AFL-RET-000031,Website,Shubh Vivah DEC25,CMP-2025-0011,2025-12-15 15:58:00,,8772054511,6377014087,chirag.patel53@outlook.com,1971-11-13,MWVPF6940D,PAN_Chirag_Patel.pdf,Mumbai,Mumbai Suburban,Maharashtra,400064,India,Loan Against Property,Loan Against Property,19000000,2026-01-14,Mihir Bhatt,Mumbai — Andheri,Maharashtra Region,West Zone,Not interested,NI-02,Already availed loan elsewhere,,,2025-12-17 13:16:00,No,Mihir Bhatt,2025-12-17 13:16:00,Salaried — Private Sector,Salaried,0.2,No
32,Rutuja,Doshi,AFL-RET-000032,Landing page,Shubh Vivah DEC25,CMP-2025-0011,2025-12-27 15:12:00,400884565,8885754612,,rutuja.doshi94@gmail.com,1980-06-16,CSWPY8001J,PAN_Rutuja_Doshi.pdf,Mumbai,Mumbai Suburban,Maharashtra,400072,India,Retail Home Loans,Home Loan Balance Transfer,8500000,2026-01-26,Bhavesh Modi,Mumbai — Powai,Maharashtra Region,West Zone,Rejected,REJ-12,GST / ITR not available,,,2026-01-06 10:06:00,No,Bhavesh Modi,2026-01-06 10:06:00,Salaried — MNC,Salaried,,No
33,Manoj,Panda,AFL-RET-000033,PQ Campaign,Safar Travel APR26,CMP-2026-0025,2026-04-05 20:31:00,318606330,8965341020,8390589745,manoj.panda@yahoo.com,2002-12-25,XGVPJ6803B,PAN_Manoj_Panda.pdf,Guwahati,Kamrup Metro,Assam,781006,India,Business & MSME Loans,Machinery Purchase Loan,4100000,2026-06-04,Sunita Saikia,Guwahati — GS Road,East India Region,East Zone,Disbursed,,,,AFLRET26000008,2026-04-29 16:02:00,No,Sunita Saikia,2026-04-29 16:02:00,Self-Employed Professional,Self-Employed,1.9,No
34,Sudeshna,Bhattacharya,AFL-RET-000034,Social media,Vyapar Vriddhi MAR26,CMP-2026-0020,2026-03-12 16:18:00,,9880010355,9299875396,sudeshna.bhattacharya12@rediffmail.com,1999-02-28,,,Kolkata,Kolkata,West Bengal,700105,India,Gold & Secured Loans,Loan Against Securities,1100000,2026-04-11,Tanmoy Chakraborty,Kolkata — Salt Lake,West Bengal Region,East Zone,Not interested,NI-02,Already availed loan elsewhere,,,2026-03-13 14:36:00,No,Tanmoy Chakraborty,2026-03-13 14:36:00,Salaried — MNC,Salaried,0.2,No
35,Tejas,Jadhav,AFL-RET-000035,Website,Shiksha Education MAY26,CMP-2026-0026,2026-05-07 19:18:00,,9395026865,,tejas.jadhav@outlook.com,1993-05-15,,,Nashik,Nashik,Maharashtra,422005,India,Retail Personal Loans,Education Loan,225000,2026-07-06,Tanvi Mehta,Nashik — College Road,Maharashtra Region,West Zone,Not interested,NI-07,Tenure offered not suitable,,,2026-05-13 09:44:00,No,Tanvi Mehta,2026-05-13 09:44:00,Salaried — Private Sector,Salaried,0.2,No
36,Tejas,Patel,AFL-RET-000036,Landing page,Swasthya Care JUL26,CMP-2026-0032,2026-07-31 14:12:00,,8768331830,,tejas.patel@gmail.com,2003-01-03,STGPW3018W,PAN_Tejas_Patel.pdf,Ahmedabad,Ahmedabad,Gujarat,380001,India,Retail Home Loans,Disha Home Loan,2600000,2026-09-29,Payal Vora,Ahmedabad — CG Road,Gujarat Region,West Zone,Sanctioned,,,,AFLRET26000009,2026-08-18 12:30:00,No,Payal Vora,2026-08-18 12:30:00,Student,Salaried,0.2,No
37,Chandra,Sarma,AFL-RET-000037,Website,Vyapar Vriddhi FEB26,CMP-2026-0016,2026-02-21 18:18:00,227964933,6709597387,8620964744,chandra.sarma@rediffmail.com,1994-06-28,,,Anantapur,Anantapur,Andhra Pradesh,515001,India,Business & MSME Loans,Vyapar Business Loan,4600000,2026-03-23,UNALLOCATED,UNALLOCATED,UNALLOCATED,UNALLOCATED,New,,,,,2026-02-21 18:30:00,No,System,2026-02-21 18:30:00,Self-Employed Professional,Self-Employed,,Yes
38,Harsh,Verma,AFL-RET-000038,Website,Diwali Dhamaka NOV25,CMP-2025-0006,2025-11-30 15:31:00,,7866683868,,harsh.verma@gmail.com,1990-09-26,,,Ludhiana,Ludhiana,Punjab,141002,India,Retail Personal Loans,Diwali Special Loan,65000,2026-01-14,Swati Saxena,Ludhiana — Mall Road,North India Region,North Zone,Not interested,NI-05,Processing fee not acceptable,,,2025-12-05 09:55:00,No,Swati Saxena,2025-12-05 09:55:00,Salaried — Private Sector,Salaried,0.4,No
39,Aditi,Modi,AFL-RET-000039,Social media,Balance Transfer Bonanza JAN26,CMP-2026-0014,2026-01-21 13:58:00,,7333914320,,aditi.modi@outlook.com,2002-03-14,,,Pune,Pune,Maharashtra,411061,India,Retail Home Loans,Disha Home Loan,1600000,2026-02-20,Sagar Vora,Pune — Wakad,Maharashtra Region,West Zone,Rejected,REJ-11,Business vintage below minimum,,,2026-02-01 09:46:00,No,Sagar Vora,2026-02-01 09:46:00,Student,Salaried,,No
40,Ashwini,Modi,AFL-RET-000040,Social media,Balance Transfer Bonanza FEB26,CMP-2026-0017,2026-02-07 10:37:00,,6345547387,7717288810,ashwini.modi27@outlook.com,1985-04-06,,,Mumbai,Mumbai Suburban,Maharashtra,400050,India,Retail Home Loans,Home Loan Balance Transfer,2400000,2026-03-09,Shreya Desai,Mumbai — Bandra,Maharashtra Region,West Zone,Rejected,REJ-02,Income below minimum,,,2026-02-17 17:52:00,No,Shreya Desai,2026-02-17 17:52:00,Salaried — Private Sector,Salaried,,No
41,Tanmoy,Majumdar,AFL-RET-000041,Landing page,Grah Sajawat OCT25,CMP-2025-0005,2025-10-30 15:00:00,604999760,7843793198,8104258763,tanmoy.majumdar88@outlook.com,1998-11-11,,,Kolkata,Kolkata,West Bengal,700102,India,Retail Personal Loans,Home Renovation Loan,135000,2025-12-29,Paromita Majumdar,Kolkata — Salt Lake,West Bengal Region,East Zone,Rejected,REJ-10,Technical valuation below expectation,,,2025-11-09 09:54:00,No,Paromita Majumdar,2025-11-09 09:54:00,Salaried — Government / PSU,Salaried,,No
42,Piyali,Sarkar,AFL-RET-000042,Website,Shiksha Education JUN26,CMP-2026-0028,2026-06-18 10:12:00,515252902,8830400613,7410217317,piyali.sarkar@yahoo.com,1998-12-28,LVFPB1773J,PAN_Piyali_Sarkar.pdf,Kolkata,Kolkata,West Bengal,700106,India,Retail Personal Loans,Education Loan,700000,2026-08-17,Tanmoy Chakraborty,Kolkata — Salt Lake,West Bengal Region,East Zone,Login Initiated,,,,,2026-06-23 11:57:00,No,Tanmoy Chakraborty,2026-06-23 11:57:00,Homemaker,Self-Employed,0.2,No
43,Rituparna,Guha,AFL-RET-000043,Landing page,Swasthya Care AUG26,CMP-2026-0035,2026-08-29 15:44:00,125761390,8657746189,,rituparna.guha11@gmail.com,1989-06-09,WWRPB2407K,PAN_Rituparna_Guha.pdf,Kolkata,Kolkata,West Bengal,700091,India,Business & MSME Loans,MSME Growth Loan,1200000,2026-09-28,Paromita Majumdar,Kolkata — Salt Lake,West Bengal Region,East Zone,Sanctioned,,,,AFLRET26000010,2026-09-10 18:30:00,No,Paromita Majumdar,2026-09-10 18:30:00,Business Owner,Self-Employed,1.2,No
44,Pallavi,Murthy,AFL-RET-000044,Social media,Swasthya Care AUG26,CMP-2026-0035,2026-08-19 10:58:00,,7400567461,,,1967-09-19,,,Bengaluru,Bengaluru Urban,Karnataka,560066,India,Retail Home Loans,Home Loan Balance Transfer,3200000,2026-10-18,Kiran Udupa,Bengaluru — Whitefield,Karnataka Region,South Zone,Rejected,REJ-03,Policy restriction,,,2026-08-31 09:13:00,No,Kiran Udupa,2026-08-31 09:13:00,Retired / Pensioner,Salaried,,No
45,Satish,Sarma,AFL-RET-000045,PQ Campaign,Shiksha Education MAY26,CMP-2026-0026,2026-05-29 14:51:00,563304439,7974126485,7488914425,satish.sarma@hotmail.com,1997-02-06,WPJPJ2737B,PAN_Satish_Sarma.pdf,Warangal,Warangal,Telangana,506001,India,Retail Personal Loans,Marriage Loan,775000,2026-07-13,Aruna Reddy,Warangal — Hanamkonda,Telangana Region,South Zone,Login Initiated,,,,,2026-06-01 10:01:00,No,Aruna Reddy,2026-06-01 10:01:00,Salaried — Private Sector,Salaried,0.2,No
46,Srinivas,Naidu,AFL-RET-000046,Website,Ghar Ka Sapna SEP26,CMP-2026-0037,2026-09-03 09:31:00,,8265082919,,srinivas.naidu@hotmail.com,1975-08-24,,,Visakhapatnam,Visakhapatnam,Andhra Pradesh,530002,India,Retail Home Loans,Home Purchase Loan,6500000,2026-11-02,Chandra Naidu,Vizag — Dwaraka Nagar,Kerala & AP Region,South Zone,Follow-up,,,2026-09-18,,2026-09-05 10:01:00,No,Chandra Naidu,2026-09-05 10:01:00,Salaried — MNC,Salaried,1.5,No
47,Shreya,Panchal,AFL-RET-000047,Website,Balance Transfer Bonanza JAN26,CMP-2026-0014,2026-01-01 11:58:00,,6677119374,,shreya.panchal11@gmail.com,1976-01-19,,,Mumbai,Mumbai Suburban,Maharashtra,400050,India,Retail Personal Loans,Kushal Personal Loan,225000,2026-02-15,Jayesh Chavan,Mumbai — Bandra,Maharashtra Region,West Zone,Not interested,NI-07,Tenure offered not suitable,,,2026-01-03 10:16:00,No,Jayesh Chavan,2026-01-03 10:16:00,Salaried — Private Sector,Salaried,0.2,No
48,Trupti,Gaikwad,AFL-RET-000048,Social media,Property Power APR26,CMP-2026-0023,2026-04-06 19:00:00,232022734,9242795811,,trupti.gaikwad@gmail.com,1973-06-01,AUUPH7869H,PAN_Trupti_Gaikwad.pdf,Mumbai,Mumbai,Maharashtra,400001,India,Loan Against Property,MLAP (Shakti),925000,2026-05-21,Rutuja Pawar,Mumbai — Fort,Maharashtra Region,West Zone,Disbursed,,,,AFLRET26000011,2026-05-07 10:46:00,No,Rutuja Pawar,2026-05-07 10:46:00,Self-Employed Professional,Self-Employed,0.2,No
49,Sagar,Patil,AFL-RET-000049,Landing page,Shiksha Education MAY26,CMP-2026-0026,2026-05-14 12:51:00,,8165801492,,sagar.patil88@rediffmail.com,1981-10-24,,,Mumbai,Mumbai,Maharashtra,400005,India,Retail Personal Loans,Education Loan,135000,2026-06-13,Omkar Patel,Mumbai — Fort,Maharashtra Region,West Zone,Rejected,REJ-03,Policy restriction,,,2026-05-24 09:06:00,No,Omkar Patel,2026-05-24 09:06:00,Self-Employed Non-Professional,Self-Employed,,No
